Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Cereal production (metric tons),"Children out of school, primary","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Exports of goods and services (% of GDP),GDP per capita (current US$),Gini index,"Inflation, consumer prices (annual %)","Population, total","School enrollment, secondary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Antigua and Barbuda,ATG,2000,100.0,97.7,-0.0396,48.0,,,,,,12021.463208189,,0.77177979690018,74912.0,80.2677612304688,553022068.499085,268997887.388714,
Antigua and Barbuda,ATG,2001,100.0,97.7,-0.0396,50.77,,,,,,11535.7742945854,,1.40279663573988,76069.0,,541279385.078141,281983373.183017,
Antigua and Barbuda,ATG,2002,100.0,100.0,-0.0396,50.0,,,,,,11657.3487497259,,2.40765801293491,77032.0,,562757954.089826,296440076.4825,
Antigua and Barbuda,ATG,2003,100.0,97.9,-0.0396,55.0,,,,,,12171.3773760407,,1.99353055152454,77884.0,,630612523.629574,321527865.704086,
Antigua and Barbuda,ATG,2004,100.0,97.9,-0.0396,60.0,,,,,,13036.0075900543,,2.03007757853236,78719.0,,707074323.677559,340891000.181453,
Antigua and Barbuda,ATG,2005,100.0,92.2,-0.0396,61.12,,,,,,14366.2912765172,,2.09875196709308,79611.0,,732676399.790296,389039437.091085,
Antigua and Barbuda,ATG,2006,100.0,100.0,-0.0396,65.0,,,,,,16172.2513541282,,1.78778537419121,80604.0,,758147239.175607,424670910.837285,
Antigua and Barbuda,ATG,2007,100.0,100.0,-0.0396,64.85,43.0,,,,,18203.5151277783,,1.41605259409741,81704.0,111.461891174316,743317727.689537,451699879.830941,
Antigua and Barbuda,ATG,2015,100.0,100.0,-0.0396,74.57,89.6669487939071,,,,70.6912007913569,16080.6580495873,,0.968993458825638,89409.0,117.027770996094,948793866.970029,427281983.962181,
Antigua and Barbuda,ATG,2016,100.0,100.0,-0.0396,64.71,110.76011866921,,,,70.0199146232009,16557.843174789,,-0.489437796230499,89969.0,,993021883.6937,480429777.103074,
